Run Name,Short Name,LR,Rank (r),Scheduler,Best Eval Loss
stage2search_20260407_173210_stage2_search_lr2e4_r16_e1_ms500,lr2e4_r16_e1_ms500,0.0002,0,linear,0.3768673837184906
stage2search_20260407_173210_stage2_search_lr1e4_r16_e1_ms500,lr1e4_r16_e1_ms500,0.0001,0,linear,0.3919379413127899
stage2search_20260407_173210_stage2_search_lr5e5_r32_e1_ms500_cosine,lr5e5_r32_e1_ms500_cosine,5e-05,0,cosine,0.4008652865886688
stage2search_20260407_093111_stage2_search_lr5e5_r16_e1_ms500,lr5e5_r16_e1_ms500,5e-05,0,linear,0.4193972647190094
stage2search_20260407_173210_stage2_search_lr5e5_r16_e1_ms500_cosine,lr5e5_r16_e1_ms500_cosine,5e-05,0,cosine,0.42028406262397766
stage2search_20260407_093111_stage2_search_lr2e5_r64_e1_ms500,lr2e5_r64_e1_ms500,2e-05,0,linear,0.4228348433971405
stage2search_20260407_093111_stage2_search_lr2e5_r32_e1_ms500,lr2e5_r32_e1_ms500,2e-05,0,linear,0.45778143405914307
stage2search_20260407_093111_stage2_search_lr2e5_r16_e1_ms500,lr2e5_r16_e1_ms500,2e-05,0,linear,0.48624780774116516
stage2search_20260407_093111_stage2_search_lr2e5_r8_e1_ms500,lr2e5_r8_e1_ms500,2e-05,0,linear,0.5135548710823059
stage2search_20260407_093111_stage2_search_lr1e5_r16_e1_ms500,lr1e5_r16_e1_ms500,1e-05,0,linear,0.5344148874282837
